States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date,Season
Tamil Nadu,3914.29,3137.14,2984.29,6528.57,8928.57,11757.14,9100,6083.33,3608.57,,14907.57,12967,8198.43,,10072.57,7889.14,4671.43,,1492.86,2314.29,7857.14,1785.71,17-02-2016,2
Tamil Nadu,2753.75,2800,2372.33,6500,14500,15125,9950,8400,3165,,12269.75,,7686.5,,9011.5,5691.25,3768.75,,1490,1725,1900,2675,18-02-2016,2
Tamil Nadu,3185,2804,2582.5,12180,8200,9490,6400,6200,3918,,14378.8,,8379.8,,9132,7186,4553,,1540,1540,1240,740,19-02-2016,2
Tamil Nadu,3360,2696,2505,6440,6270,6680,6537.5,5000,3764,,12973.4,,8762.6,,8960.2,7067.2,4800,,1500,1400,3720,660,20-02-2016,2
Tamil Nadu,3100,3000,3084,6440,6940,7810,7340,5280,3390,,14161.2,,8238.4,,9516.2,6875.4,4460,,1542,1940,1200,1500,21-02-2016,2
Tamil Nadu,2631,2750,2336.75,6120,12500,13840,9040,6900,3424,,12068,,7820.4,,8890.8,5695.8,3895,,1510,1600,1520,760,22-02-2016,3
Tamil Nadu,3302,2836,2572.5,9360,6980,9230,6280,5750,4190,,13888.2,,8600.4,,9132,7273.8,4606,,1550,1460,1160,1960,23-02-2016,3
Tamil Nadu,3301,2736,2555,5940,6320,6600,6650,5100,3574,,12775.4,,8784.6,,8982.2,7005.6,4820,,1500,1325,2380,580,24-02-2016,3
Tamil Nadu,2987.5,2925,2862.5,6325,8150,7625,7700,5825,3382.5,,13548,,8397.5,,9335,7187.25,4491.75,,1530,1875,1050,1075,25-02-2016,3
Tamil Nadu,2475,2720,2286.75,5820,11500,13260,8740,6150,3452,,12013,,7798.4,,9044.2,6314,3764,,1530,1520,1300,700,26-02-2016,3
