group,variable,value
Jammu and Kashmir,Tomato,5000.0
Jharkhand,Rice,3461.8
Jharkhand,Wheat,2891.5
Jharkhand,Atta (Wheat),3230.0
Jharkhand,Gram Dal,8390.0
Jharkhand,Tur/Arhar Dal,15335.5
Jharkhand,Urad Dal,10767.0
Jharkhand,Moong Dal,10184.5
Jharkhand,Masoor Dal,7532.5
Jharkhand,Sugar,4206.5
Jharkhand,Milk @,5553.57
Jharkhand,Groundnut Oil (Packed),17550.0
Jharkhand,Mustard Oil (Packed),13666.3
Jharkhand,Vanaspati (Packed),11139.89
Jharkhand,Soya Oil (Packed),11691.1
Jharkhand,Sunflower Oil (Packed),13370.56
Jharkhand,Palm Oil (Packed),9960.7
Jharkhand,Gur,4770.0
Jharkhand,Tea Loose,23285.71
Jharkhand,Salt Pack (Iodised),2113.33
Jharkhand,Potato,2805.0
Jharkhand,Onion,3900.0
Jharkhand,Tomato,3533.33
Karnataka,Rice,4973.79
Karnataka,Wheat,3786.21
Karnataka,Atta (Wheat),3822.03
Karnataka,Gram Dal,8772.93
Karnataka,Tur/Arhar Dal,15539.66
Karnataka,Urad Dal,12417.24
Karnataka,Moong Dal,10962.03
Karnataka,Masoor Dal,8429.31
Karnataka,Sugar,3962.76
Karnataka,Milk @,4800.34
Karnataka,Groundnut Oil (Packed),16378.1
Karnataka,Mustard Oil (Packed),14505.17
Karnataka,Vanaspati (Packed),10355.0
Karnataka,Soya Oil (Packed),11596.43
Karnataka,Sunflower Oil (Packed),10660.0
Karnataka,Palm Oil (Packed),8971.55
Karnataka,Gur,4467.24
Karnataka,Tea Loose,21672.24
Karnataka,Salt Pack (Iodised),1424.61
Karnataka,Potato,3473.28
Karnataka,Onion,4208.59
Karnataka,Tomato,1872.5
Madhya Pradesh,Rice,3404.55
Madhya Pradesh,Wheat,2652.35
Madhya Pradesh,Atta (Wheat),3068.86
Madhya Pradesh,Gram Dal,8385.89
Madhya Pradesh,Tur/Arhar Dal,15276.0
Madhya Pradesh,Urad Dal,11075.34
Madhya Pradesh,Moong Dal,10049.77
Madhya Pradesh,Masoor Dal,7983.18
Madhya Pradesh,Sugar,4020.07
Madhya Pradesh,Milk @,5007.95
Madhya Pradesh,Groundnut Oil (Packed),17062.52
Madhya Pradesh,Mustard Oil (Packed),12581.5
Madhya Pradesh,Vanaspati (Packed),10796.6
Madhya Pradesh,Soya Oil (Packed),10346.86
Madhya Pradesh,Sunflower Oil (Packed),11489.4
Madhya Pradesh,Palm Oil (Packed),9349.67
Madhya Pradesh,Gur,4516.02
Madhya Pradesh,Tea Loose,21147.09
Madhya Pradesh,Salt Pack (Iodised),1289.8
Madhya Pradesh,Potato,2779.43
Madhya Pradesh,Onion,3484.55
Madhya Pradesh,Tomato,2973.59
Maharashtra,Rice,4047.89
Maharashtra,Wheat,3311.58
Maharashtra,Atta (Wheat),3713.16
Maharashtra,Gram Dal,8875.0
Maharashtra,Tur/Arhar Dal,15584.21
Maharashtra,Urad Dal,11783.68
Maharashtra,Moong Dal,10844.74
Maharashtra,Masoor Dal,8139.74
Maharashtra,Sugar,3964.47
Maharashtra,Milk @,5277.37
Maharashtra,Groundnut Oil (Packed),16736.32
Maharashtra,Mustard Oil (Packed),14202.78
Maharashtra,Vanaspati (Packed),11465.79
Maharashtra,Soya Oil (Packed),10221.05
Maharashtra,Sunflower Oil (Packed),11028.95
Maharashtra,Palm Oil (Packed),9537.5
Maharashtra,Gur,4448.42
Maharashtra,Tea Loose,27857.89
Maharashtra,Salt Pack (Iodised),1939.74
Maharashtra,Potato,3023.68
Maharashtra,Onion,3560.53
Maharashtra,Tomato,2228.42
Meghalaya,Rice,4190.0
Meghalaya,Wheat,3450.0
Meghalaya,Atta (Wheat),3380.0
Meghalaya,Gram Dal,9300.0
Meghalaya,Tur/Arhar Dal,16600.0
Meghalaya,Urad Dal,12000.0
Meghalaya,Moong Dal,11550.0
Meghalaya,Masoor Dal,8750.0
Meghalaya,Sugar,4500.0
Meghalaya,Milk @,7008.0
Meghalaya,Mustard Oil (Packed),12710.0
Meghalaya,Vanaspati (Packed),10333.0
Meghalaya,Soya Oil (Packed),11284.0
Meghalaya,Gur,6000.0
Meghalaya,Tea Loose,25500.0
Meghalaya,Salt Pack (Iodised),2600.0
Meghalaya,Potato,3250.0
Meghalaya,Onion,4800.0
Meghalaya,Tomato,5250.0
Mizoram,Rice,4120.0
Mizoram,Wheat,3682.86
Mizoram,Atta (Wheat),3866.67
Mizoram,Gram Dal,9314.29
Mizoram,Tur/Arhar Dal,14650.0
Mizoram,Urad Dal,12760.0
Mizoram,Moong Dal,11820.0
Mizoram,Masoor Dal,9425.0
Mizoram,Sugar,4505.0
Mizoram,Milk @,7220.0
Mizoram,Groundnut Oil (Packed),13750.0
Mizoram,Mustard Oil (Packed),17505.5
Mizoram,Vanaspati (Packed),14100.0
Mizoram,Soya Oil (Packed),10968.88
Mizoram,Sunflower Oil (Packed),13822.0
Mizoram,Palm Oil (Packed),11001.8
Mizoram,Gur,9333.33
Mizoram,Tea Loose,39883.33
Mizoram,Salt Pack (Iodised),2500.0
Mizoram,Potato,3390.0
Mizoram,Onion,4422.22
Mizoram,Tomato,8171.43
Odisha,Rice,3573.56
Odisha,Wheat,3159.14
Odisha,Atta (Wheat),3717.78
Odisha,Gram Dal,9058.56
Odisha,Tur/Arhar Dal,15476.89
Odisha,Urad Dal,11156.67
Odisha,Moong Dal,10377.78
Odisha,Masoor Dal,7466.67
Odisha,Sugar,4200.22
Odisha,Milk @,5168.0
Odisha,Groundnut Oil (Packed),14200.0
Odisha,Mustard Oil (Packed),13350.56
Odisha,Vanaspati (Packed),11001.0
Odisha,Soya Oil (Packed),10400.0
Odisha,Sunflower Oil (Packed),11081.56
Odisha,Palm Oil (Packed),9360.0
Odisha,Gur,4829.11
Odisha,Tea Loose,23316.67
Odisha,Salt Pack (Iodised),2385.25
Odisha,Potato,2457.78
Odisha,Onion,4455.56
Odisha,Tomato,3185.71
Puducherry,Rice,6000.0
Puducherry,Wheat,4300.0
Puducherry,Atta (Wheat),3700.0
Puducherry,Gram Dal,8900.0
Puducherry,Tur/Arhar Dal,17300.0
Puducherry,Urad Dal,14800.0
Puducherry,Masoor Dal,8500.0
Puducherry,Sugar,4300.0
Puducherry,Milk @,4800.0
Puducherry,Groundnut Oil (Packed),21500.0
Puducherry,Mustard Oil (Packed),14000.0
Puducherry,Vanaspati (Packed),13300.0
Puducherry,Sunflower Oil (Packed),10500.0
Puducherry,Palm Oil (Packed),9800.0
Puducherry,Gur,5400.0
Puducherry,Tea Loose,32000.0
Puducherry,Salt Pack (Iodised),2300.0
Puducherry,Potato,4300.0
Puducherry,Onion,5200.0
Puducherry,Tomato,1900.0
Punjab,Rice,3516.0
Punjab,Wheat,2431.82
Punjab,Atta (Wheat),2806.0
Punjab,Gram Dal,9121.18
Punjab,Tur/Arhar Dal,15595.45
Punjab,Urad Dal,12036.36
Punjab,Moong Dal,10368.18
Punjab,Masoor Dal,7971.18
Punjab,Sugar,4239.09
Punjab,Milk @,5459.09
Punjab,Groundnut Oil (Packed),18576.36
Punjab,Mustard Oil (Packed),12305.18
Punjab,Vanaspati (Packed),11220.55
Punjab,Soya Oil (Packed),10405.82
Punjab,Sunflower Oil (Packed),11894.0
Punjab,Palm Oil (Packed),9373.67
Punjab,Gur,4724.18
Punjab,Tea Loose,22818.18
Punjab,Salt Pack (Iodised),2226.0
Punjab,Potato,2187.82
Punjab,Onion,4572.73
Punjab,Tomato,3090.91
Rajasthan,Rice,3422.22
Rajasthan,Wheat,2654.44
Rajasthan,Atta (Wheat),3013.33
Rajasthan,Gram Dal,7943.75
Rajasthan,Tur/Arhar Dal,16331.25
Rajasthan,Urad Dal,11100.0
Rajasthan,Moong Dal,9988.89
Rajasthan,Masoor Dal,8153.33
Rajasthan,Sugar,3913.33
Rajasthan,Milk @,4800.0
Rajasthan,Groundnut Oil (Packed),16504.13
Rajasthan,Mustard Oil (Packed),13017.88
Rajasthan,Vanaspati (Packed),11002.86
Rajasthan,Soya Oil (Packed),11295.75
Rajasthan,Sunflower Oil (Packed),12416.67
Rajasthan,Palm Oil (Packed),9500.0
Rajasthan,Gur,4011.11
Rajasthan,Tea Loose,27833.33
Rajasthan,Salt Pack (Iodised),1392.86
Rajasthan,Potato,2388.89
Rajasthan,Onion,3146.67
Rajasthan,Tomato,4091.67
Sikkim,Rice,4900.0
Sikkim,Wheat,3500.0
Sikkim,Atta (Wheat),3500.0
Sikkim,Gram Dal,8500.0
Sikkim,Moong Dal,11800.0
Sikkim,Masoor Dal,9000.0
Sikkim,Sugar,4700.0
Sikkim,Milk @,5700.0
Sikkim,Mustard Oil (Packed),14300.0
Sikkim,Vanaspati (Packed),10500.0
Sikkim,Soya Oil (Packed),10600.0
